Overall Qual,Overall Cond,Year Built,Total Bsmt SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Garage Yr Blt,Garage Area,SalePrice,Has_remod,External_SF,Lot Shape,Garage Finish,Exter Qual,Electrical,Heating QC,Mas Vnr Type,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
5,5,1916,624.0,1344,1,7,1916.0,513.0,98000,34,0,1,1.0,2,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,6,1963,1121.0,1121,1,5,1963.0,480.0,139000,0,80,1,1.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,5,1977,660.0,1285,1,7,1977.0,528.0,143500,0,138,1,2.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,5,2009,756.0,1547,2,7,2009.0,614.0,215200,0,214,1,1.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,1968,894.0,894,1,5,1968.0,450.0,129000,0,0,1,3.0,2,5,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,5,2000,1501.0,1659,2,5,2000.0,499.0,278000,0,271,3,3.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,5,2005,1209.0,2253,2,8,2005.0,575.0,344133,1,385,3,3.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,1992,1168.0,1187,2,6,1992.0,420.0,185000,15,504,3,3.0,2,5,5.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1955,1056.0,1056,1,5,1955.0,572.0,145000,0,264,1,3.0,2,5,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1961,1453.0,1453,2,6,1961.0,530.0,187500,0,49,3,2.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1965,894.0,894,1,5,1973.0,336.0,138500,44,560,1,1.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,6,1937,942.0,1938,2,7,1937.0,240.0,198000,58,40,3,1.0,2,5,5.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1895,957.0,1991,2,9,0.0,0.0,119600,111,0,1,0.0,2,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1949,672.0,924,1,6,2003.0,576.0,122900,57,0,1,1.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,5,1981,2524.0,2524,2,9,1981.0,542.0,278000,0,594,1,3.0,3,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,7,1929,792.0,1517,1,7,1931.0,400.0,230000,21,0,3,1.0,2,5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,1995,1494.0,1494,1,6,1995.0,481.0,270000,1,30,3,3.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,1952,948.0,948,1,5,1952.0,410.0,125000,0,48,1,1.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,5,2007,1705.0,1718,2,7,2007.0,826.0,297000,1,252,1,2.0,3,5,5.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1958,160.0,1142,1,5,1958.0,384.0,113500,0,28,3,2.0,2,5,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1977,757.0,1475,2,6,1977.0,336.0,127000,0,130,1,2.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1977,1844.0,1844,2,7,1977.0,546.0,190000,0,122,3,2.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,6,1973,1242.0,1242,1,6,1973.0,528.0,175500,0,0,1,1.0,2,5,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,7,1994,990.0,990,1,5,1995.0,384.0,146000,0,256,4,1.0,2,5,5.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1965,1256.0,1256,1,6,1965.0,276.0,147500,0,804,1,3.0,3,5,4.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,2006,2076.0,2076,2,7,2006.0,850.0,465000,0,445,1,3.0,4,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,1978,1097.0,1110,1,4,1978.0,602.0,165500,0,333,3,3.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1954,1050.0,1795,2,7,1954.0,352.0,131500,0,0,1,1.0,2,3,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,1965,1040.0,1040,1,5,1965.0,384.0,129500,0,0,1,1.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,6,1935,608.0,1873,1,9,1935.0,786.0,257076,15,0,3,3.0,2,5,3.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1941,984.0,1604,2,6,1977.0,660.0,117000,19,68,1,1.0,2,5,5.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,1931,776.0,1502,1,6,1931.0,270.0,149000,69,0,1,2.0,2,5,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1954,1056.0,1063,1,6,1954.0,280.0,128000,0,0,1,2.0,2,5,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2003,764.0,1626,2,6,2003.0,474.0,155000,1,27,1,2.0,3,5,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,5,2000,756.0,1524,2,4,2000.0,440.0,166000,0,32,1,1.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,3,1928,1122.0,1981,2,7,1981.0,576.0,135000,22,475,1,1.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,5,1978,1392.0,2784,3,12,1978.0,564.0,250000,0,112,3,2.0,2,5,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,7,1970,546.0,1092,1,5,0.0,0.0,76000,0,226,1,0.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1951,216.0,1575,1,5,1951.0,400.0,155000,0,0,1,1.0,2,5,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,1969,663.0,1352,1,7,1969.0,299.0,158000,0,415,1,3.0,2,5,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,5,2004,600.0,1200,2,4,2004.0,480.0,149500,1,172,1,2.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,6,1954,936.0,936,1,5,1954.0,240.0,121000,21,0,1,1.0,2,4,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,7,1953,1040.0,1040,1,6,1953.0,293.0,136000,0,0,1,3.0,2,3,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,5,1996,916.0,1636,2,7,1996.0,386.0,173000,0,252,4,3.0,2,5,4.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1999,1152.0,2270,2,9,1999.0,671.0,290000,8,189,3,3.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,5,2007,1184.0,2610,2,11,2007.0,550.0,303477,0,572,1,3.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,1977,1420.0,1483,1,4,1977.0,690.0,270000,24,496,3,2.0,3,5,4.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1920,936.0,1740,1,6,1920.0,225.0,122250,30,0,1,1.0,1,4,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,1955,1382.0,1382,1,6,1955.0,350.0,153000,0,280,1,1.0,2,4,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2007,1120.0,1120,1,6,0.0,0.0,147000,0,30,1,0.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,1930,531.0,1098,1,5,1930.0,216.0,148500,65,0,1,1.0,2,5,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2004,976.0,1708,2,7,2004.0,380.0,130000,0,40,1,1.0,3,5,5.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,2006,1802.0,1802,2,7,2006.0,843.0,372000,0,263,3,3.0,4,5,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,5,2005,1362.0,1506,2,6,2005.0,440.0,213490,0,162,1,3.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2009,1508.0,1508,1,5,2009.0,572.0,308030,1,0,4,2.0,3,5,5.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,1996,1840.0,2032,3,7,1996.0,786.0,300000,1,46,4,3.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1959,655.0,1194,1,6,1954.0,539.0,159500,0,0,1,3.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2004,970.0,1709,2,7,2004.0,380.0,137500,0,40,1,1.0,3,5,5.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2005,1616.0,1616,2,7,2005.0,834.0,232000,0,267,1,2.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,6,1930,768.0,768,1,4,1930.0,440.0,93850,20,0,3,1.0,3,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1924,872.0,872,1,5,1924.0,322.0,105000,26,0,1,1.0,2,3,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,6,1927,520.0,520,1,4,1920.0,240.0,68500,23,49,3,1.0,2,5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1960,1105.0,2274,2,12,1960.0,480.0,154300,0,0,1,1.0,2,4,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1925,936.0,1601,2,6,0.0,0.0,129850,78,0,1,0.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1910,616.0,1232,1,6,1920.0,480.0,114000,40,280,1,1.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,5,2008,2216.0,2234,2,9,2009.0,1166.0,501837,1,60,3,3.0,4,5,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,8,1915,876.0,1416,1,7,1949.0,720.0,153900,35,418,3,1.0,2,5,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,7,1971,864.0,864,1,5,1986.0,576.0,130000,35,200,1,1.0,2,5,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,5,1997,1189.0,1189,2,4,1997.0,392.0,160500,0,122,1,2.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,2006,1666.0,1666,2,6,2006.0,575.0,310090,0,303,1,2.0,4,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,5,2003,1176.0,1200,2,5,2003.0,555.0,184900,0,41,1,2.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,7,1956,928.0,928,1,4,1956.0,252.0,132000,44,261,1,1.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1969,1288.0,1336,2,6,1969.0,502.0,163000,0,323,1,2.0,2,5,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,5,2004,600.0,1200,2,4,2004.0,480.0,155000,0,172,1,2.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,6,1969,1427.0,1427,2,7,1969.0,516.0,183000,0,0,3,2.0,2,5,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,5,1996,860.0,1992,2,7,1996.0,608.0,211000,6,257,2,2.0,3,5,5.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,1994,754.0,1540,2,6,1994.0,495.0,184000,0,172,1,2.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5,1979,0.0,1535,2,8,1979.0,400.0,118858,0,0,1,1.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,7,1964,1152.0,1152,1,6,1964.0,484.0,180500,0,227,3,2.0,2,5,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,5,2006,1141.0,1151,2,5,2006.0,484.0,166000,1,60,3,3.0,3,5,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,5,1960,1138.0,1138,1,6,1960.0,480.0,148000,0,0,1,2.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,5,1956,894.0,1074,1,6,1966.0,396.0,124000,0,72,3,1.0,2,5,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,5,2005,1561.0,1561,2,6,2005.0,556.0,277500,0,250,1,3.0,4,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,5,1995,1342.0,2726,2,9,1995.0,725.0,350000,0,476,3,2.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,5,2004,1884.0,1884,2,7,2004.0,670.0,387000,0,290,3,3.0,4,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,7,1920,528.0,605,1,5,0.0,0.0,86000,82,0,3,0.0,2,5,5.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,1976,1426.0,1671,3,6,1976.0,550.0,290000,31,370,1,2.0,4,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,1900,245.0,797,1,5,0.0,0.0,44000,50,36,1,0.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,2001,804.0,1961,2,7,2001.0,560.0,215000,1,317,3,3.0,2,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1972,1153.0,1193,2,6,1972.0,501.0,146500,0,293,3,3.0,2,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,5,2000,673.0,1382,2,6,2000.0,490.0,165000,0,203,1,1.0,3,5,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,7,1916,714.0,2526,2,10,1916.0,216.0,136000,34,103,1,1.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,6,1957,1705.0,1390,1,4,1957.0,550.0,252000,0,189,3,1.0,2,5,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,5,2003,764.0,1626,2,6,2003.0,474.0,175500,0,27,1,2.0,3,5,5.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,6,1939,690.0,1558,1,7,1939.0,400.0,150000,11,36,1,1.0,2,4,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,1960,978.0,1422,1,6,1960.0,286.0,139900,18,0,3,2.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1930,1078.0,1573,2,8,1930.0,360.0,162900,62,0,1,1.0,2,5,3.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1962,1116.0,1116,1,5,1962.0,440.0,160000,0,0,3,1.0,2,5,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1947,0.0,660,1,5,0.0,0.0,63900,3,0,1,0.0,2,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,5,1978,1140.0,1707,2,7,1978.0,479.0,184000,20,0,1,3.0,2,5,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,4,1959,1466.0,1466,1,6,1959.0,528.0,149900,0,140,1,3.0,2,5,3.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,2000,1614.0,1638,2,5,2000.0,495.0,300000,0,298,3,3.0,3,5,5.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,3,1960,988.0,1721,2,7,1960.0,626.0,145000,0,134,1,1.0,2,5,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,1997,928.0,1764,2,7,1997.0,470.0,231500,0,375,3,2.0,2,5,5.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1940,996.0,996,1,6,0.0,0.0,108000,29,144,1,0.0,2,5,5.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1956,1202.0,1202,1,6,1956.0,304.0,120000,0,35,1,2.0,2,5,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
